CATALOGORY	Item Name (required)	Item Description	Units of Measure (sold as) (required)	Unit Cost 	Supplier	Taxable
CABLE	CAT 6	PATCH CORD 24AWG 75 FT UTP CMR BOOTED	ea	30.36	TELECOM SPECIALTIES	Yes
CABLE	CAT 6	PATCH CORD 24AWG 100 FT UTP CMR BOOTED	ea	39.248	TELECOM SPECIALTIES	Yes
CABLE	CAT 6	PATCH CORD 24AWG 125 FT UTP CMR BOOTED	ea	43.384	TELECOM SPECIALTIES	Yes
CABLE	CAT 6	PATCH CORD 24AWG 150 FT UTP CMR BOOTED	ea	52.052	TELECOM SPECIALTIES	Yes
CABLE	CAT 6	PATCH CORD 24AWG 175 FT UTP CMR BOOTED	ea	60.808	TELECOM SPECIALTIES	Yes
CABLE	CAT 6	PATCH CORD 24AWG 200 FT UTP CMR BOOTED	ea	71.456	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber 50/125 OM3 Multimode Tight Buffered Pigtails with Distribution	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber 50/125 OM3 Multimode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber 50/125 OM4 Multimode Tight Buffered Pigtails with Distribution	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber 50/125 OM4 Multimode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber 62.5/125 OM1 Multimode Tight Buffered Pigtails with Distribution Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber 62.5/125 OM1 Multimode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with Distribution Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LCAPC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with Distribution Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	LCAPC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber 50/125 OM3 Multimode Tight Buffered Pigtails with Distribution	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber 50/125 OM3 Multimode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber 50/125 OM4 Multimode Tight Buffered Pigtails with Distribution	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber 50/125 OM4 Multimode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber 62.5/125 OM1 Multimode Tight Buffered Pigtails with Distribution Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber 62.5/125 OM1 Multimode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with Distribution Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SCAPC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with Distribution Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	SCAPC 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with No Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
CABLE	PIGTAIL	ST 3 Meter 12 Fiber Singlemode Tight Buffered Pigtails with Distribution Jacket	ea	34.298	TELECOM SPECIALTIES	Yes
