CATALOGORY	Item Name (required)	Item Description	Units of Measure (sold as) (required)	Unit Cost 	Supplier	Taxable
BOX	WIREWAY	NEMA TYPE 1 4X4X48 INDOOR 4448HS	ea	76.054	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 4X4X60 INDOOR 4450HS	ea	81.114	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 6X6X12 INDOOR 6612HS	ea	45.386	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 6X6X24 INDOOR 6624HS	ea	60.456	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 6X6X36 INDOOR 6636HS	ea	81.312	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 6X6X48 INDOOR 6648HS	ea	109.846	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 6X6X60 INDOOR 6660HS	ea	119.284	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 8X8X24 INDOOR 8824HS	ea	116.05	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 8X8X36 INDOOR 8836HS	ea	178.002	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 8X8X48 INDOOR 8848HS	ea	215.094	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 8X8X60 INDOOR 8860HS	ea	242.44	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 4X4X12 RAINTIGHT 4412GRTNK	ea	56.54	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 4X4X24 RAINTIGHT 4424GRTNK	ea	108.042	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 4X4X36 RAINTIGHT 4436GRTNK	ea	112.002	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 4X4X48 RAINTIGHT 4448GRTNK	ea	137.621	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 6X6X12 RAINTIGHT 6612GRTNK	ea	78.837	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 6X6X24 RAINTIGHT 6624GRTNK	ea	147.796	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 6X6X36 RAINTIGHT 6636GRTNK	ea	155.914	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 6X6X48 RAINTIGHT 6648GRTNK	ea	243.276	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 6X6X60 RAINTIGHT 6660GRTNK	ea	291.39	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 6X6X72 RAINTIGHT 6672GRTNK	ea	270.182	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 8X8X24 RAINTIGHT 8824GRTNK	ea	197.34	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 8X8X36 RAINTIGHT 8836GRTNK	ea	210.34	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 8X8X48 RAINTIGHT 8848GRTNK	ea	262.944	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 8X8X60 RAINTIGHT 8860GRTNK	ea	316.041	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 3R 8X8X72 RAINTIGHT 8872GRTNK	ea	432.685	ELLIOTT ELECTRIC SUPPLY	Yes
