CATALOGORY	Item Name (required)	Item Description	Units of Measure (sold as) (required)	Unit Cost 	Supplier	Taxable
BOX	PULL BOX	NEMA TYPE 1 10X10X4 INDOOR 10104SC	ea	33.044	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 10X10X6 INDOOR 10106SC	ea	47.872	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 12X12X4 INDOOR 12124SC	ea	42.46	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 12X12X6 INDOOR 12126SC	ea	49.786	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 18X18X6 INDOOR 18186SC	ea	90.42	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 24X24X6 INDOOR 24246SC	ea	183.282	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 8X8X4 INDOOR 884SC	ea	25.366	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 1 8X8X6 INDOOR 886SC	ea	30.47	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 10X10X4 RAINTIGHT 10104RTSC	ea	66.44	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 10X10X6 RAINTIGHT 10106RTSC	ea	77.946	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 12X12X4 RAINTIGHT 12124RTSC	ea	83.556	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 12X12X6 RAINTIGHT 12126RTSC	ea	95.744	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 18X18X6 RAINTIGHT 18186RTSC	ea	195.71	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 18X18X8 RAINTIGHT 18188RTSCNK	ea	198.858	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 24X24X12 RAINTIGHT 242412RTSC	ea	312.07	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 24X24X8 RAINTIGHT 24248RTSC	ea	263.23	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 4X4X4 RAINTIGHT 444RTSC	ea	31.262	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 6X6X4 RAINTIGHT 664RTSC	ea	39.204	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 6X6X6 RAINTIGHT 666RTSC	ea	41.492	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 8X8X4 RAINTIGHT 884RTSC	ea	51.788	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	PULL BOX	NEMA TYPE 3R 8X8X6 RAINTIGHT 886RTSC	ea	60.764	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 4X4X12 INDOOR 4412HS	ea	22.99	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 4X4X24 INDOOR 4424HS	ea	40.502	ELLIOTT ELECTRIC SUPPLY	Yes
BOX	WIREWAY	NEMA TYPE 1 4X4X36 INDOOR 4436HS	ea	56.936	ELLIOTT ELECTRIC SUPPLY	Yes
